gridx	gridy	x	y
3855	7818	963750	1954500
3846	7810	961500	1952500
3848	7813	962000	1953250
3790	7789	947500	1947250
3799	7786	949750	1946500
3798	7786	949500	1946500
3849	7822	962250	1955500
3826	7828	956500	1957000
3768	7788	942000	1947000
3850	7827	962500	1956750
3850	7828	962500	1957000
3765	7808	941250	1952000
3835	7816	958750	1954000
3830	7832	957500	1958000
3830	7831	957500	1957750
3808	7797	952000	1949250
3869	7798	967250	1949500
3832	7764	958000	1941000
3775	7800	943750	1950000
3775	7797	943750	1949250
3804	7809	951000	1952250
3846	7797	961500	1949250
3847	7797	961750	1949250
3790	7791	947500	1947750
3790	7792	947500	1948000
3787	7777	946750	1944250
3786	7777	946500	1944250
3787	7779	946750	1944750
3791	7786	947750	1946500
3837	7862	959250	1965500
3771	7786	942750	1946500
3830	7840	957500	1960000
3869	7776	967250	1944000
3864	7781	966000	1945250
3863	7781	965750	1945250
3838	7800	959500	1950000
3802	7778	950500	1944500
3792	7784	948000	1946000
3789	7774	947250	1943500
3787	7788	946750	1947000
3852	7822	963000	1955500
3872	7801	968000	1950250
3874	7798	968500	1949500
3873	7798	968250	1949500
3801	7803	950250	1950750
3789	7759	947250	1939750
3816	7818	954000	1954500
3808	7799	952000	1949750
3867	7783	966750	1945750
3849	7851	962250	1962750
3833	7773	958250	1943250
3768	7795	942000	1948750
3805	7768	951250	1942000
3811	7823	952750	1955750
3808	7824	952000	1956000
3844	7819	961000	1954750
3832	7840	958000	1960000
3843	7781	960750	1945250
3791	7814	947750	1953500
3768	7791	942000	1947750
3793	7805	948250	1951250
3847	7849	961750	1962250
3839	7768	959750	1942000
3788	7769	947000	1942250
3789	7769	947250	1942250
3833	7827	958250	1956750
3840	7798	960000	1949500
3838	7788	959500	1947000
3862	7779	965500	1944750
3790	7758	947500	1939500
3870	7795	967500	1948750
3874	7792	968500	1948000
3882	7798	970500	1949500
3882	7799	970500	1949750
3871	7799	967750	1949750
3830	7812	957500	1953000
3804	7819	951000	1954750
3843	7809	960750	1952250
3875	7793	968750	1948250
3868	7795	967000	1948750
3789	7805	947250	1951250
3871	7795	967750	1948750
3796	7832	949000	1958000
3795	7832	948750	1958000
3792	7820	948000	1955000
3840	7830	960000	1957500
3841	7815	960250	1953750
3841	7816	960250	1954000
3829	7844	957250	1961000
3838	7776	959500	1944000
3780	7768	945000	1942000
3858	7817	964500	1954250
3778	7797	944500	1949250
3836	7821	959000	1955250
3862	7782	965500	1945500
3759	7771	939750	1942750
3863	7828	965750	1957000
3862	7828	965500	1957000
3791	7780	947750	1945000
3790	7780	947500	1945000
3831	7817	957750	1954250
3811	7814	952750	1953500
3810	7814	952500	1953500
3831	7782	957750	1945500
3810	7815	952500	1953750
3847	7804	961750	1951000
3819	7819	954750	1954750
3823	7776	955750	1944000
3834	7828	958500	1957000
3787	7757	946750	1939250
3823	7775	955750	1943750
3840	7827	960000	1956750
3801	7799	950250	1949750
3788	7803	947000	1950750
3822	7767	955500	1941750
3823	7767	955750	1941750
3823	7768	955750	1942000
3822	7768	955500	1942000
3820	7768	955000	1942000
3821	7768	955250	1942000
3870	7800	967500	1950000
3853	7774	963250	1943500
3850	7833	962500	1958250
3858	7772	964500	1943000
3806	7776	951500	1944000
3849	7774	962250	1943500
3849	7773	962250	1943250
3850	7774	962500	1943500
3847	7800	961750	1950000
3792	7828	948000	1957000
3797	7834	949250	1958500
3775	7793	943750	1948250
3775	7795	943750	1948750
3775	7796	943750	1949000
3773	7790	943250	1947500
3851	7822	962750	1955500
3874	7800	968500	1950000
3874	7801	968500	1950250
3800	7770	950000	1942500
3829	7840	957250	1960000
3776	7804	944000	1951000
3776	7803	944000	1950750
3846	7827	961500	1956750
