gridx	gridy	x	y
9396	19493	939600	1949300
9593	19428	959300	1942800
9430	19446	943000	1944600
9452	19433	945200	1943300
9624	19506	962400	1950600
9611	19496	961100	1949600
9611	19497	961100	1949700
9509	19442	950900	1944200
9627	19560	962700	1956000
9627	19559	962700	1955900
9690	19516	969000	1951600
9507	19498	950700	1949800
9506	19498	950600	1949800
9474	19503	947400	1950300
9475	19503	947500	1950300
9474	19502	947400	1950200
9583	19442	958300	1944200
9584	19442	958400	1944200
9618	19521	961800	1952100
9404	19424	940400	1942400
9570	19498	957000	1949800
9577	19433	957700	1943300
9577	19434	957700	1943400
9503	19493	950300	1949300
9509	19509	950900	1950900
9510	19509	951000	1950900
9509	19508	950900	1950800
9505	19604	950500	1960400
9480	19558	948000	1955800
9482	19560	948200	1956000
9552	19425	955200	1942500
9605	19514	960500	1951400
9469	19477	946900	1947700
9630	19492	963000	1949200
9585	19594	958500	1959400
9436	19482	943600	1948200
9433	19488	943300	1948800
9434	19488	943400	1948800
9569	19441	956900	1944100
9569	19440	956900	1944000
9589	19407	958900	1940700
9624	19568	962400	1956800
9489	19546	948900	1954600
9490	19546	949000	1954600
9489	19547	948900	1954700
9490	19547	949000	1954700
9489	19545	948900	1954500
9490	19545	949000	1954500
9580	19585	958000	1958500
9589	19571	958900	1957100
9703	19510	970300	1951000
9704	19510	970400	1951000
9427	19438	942700	1943800
9632	19478	963200	1947800
9477	19521	947700	1952100
9633	19458	963300	1945800
9632	19458	963200	1945800
9472	19469	947200	1946900
9653	19414	965300	1941400
9653	19415	965300	1941500
9684	19494	968400	1949400
9685	19494	968500	1949400
9666	19495	966600	1949500
9667	19495	966700	1949500
9671	19480	967100	1948000
9527	19553	952700	1955300
9526	19553	952600	1955300
9526	19554	952600	1955400
9527	19554	952700	1955400
9525	19554	952500	1955400
9525	19553	952500	1955300
9563	19524	956300	1952400
9563	19525	956300	1952500
9526	19555	952600	1955500
9525	19555	952500	1955500
9527	19555	952700	1955500
9526	19556	952600	1955600
9524	19555	952400	1955500
9524	19554	952400	1955400
9550	19524	955000	1952400
9564	19525	956400	1952500
9564	19524	956400	1952400
9524	19556	952400	1955600
9523	19556	952300	1955600
9524	19557	952400	1955700
9565	19523	956500	1952300
9564	19523	956400	1952300
9565	19524	956500	1952400
9522	19556	952200	1955600
9523	19555	952300	1955500
9523	19557	952300	1955700
9552	19524	955200	1952400
9533	19537	953300	1953700
9532	19537	953200	1953700
9553	19524	955300	1952400
9531	19537	953100	1953700
9533	19538	953300	1953800
9554	19527	955400	1952700
9553	19527	955300	1952700
9553	19525	955300	1952500
9554	19529	955400	1952900
9553	19529	955300	1952900
9552	19528	955200	1952800
9552	19529	955200	1952900
9553	19526	955300	1952600
9554	19525	955400	1952500
9553	19528	955300	1952800
9554	19524	955400	1952400
9532	19538	953200	1953800
9555	19524	955500	1952400
9531	19538	953100	1953800
9557	19525	955700	1952500
9532	19540	953200	1954000
9558	19525	955800	1952500
9532	19541	953200	1954100
9531	19542	953100	1954200
9530	19542	953000	1954200
9532	19542	953200	1954200
9531	19543	953100	1954300
9532	19543	953200	1954300
9530	19543	953000	1954300
9539	19524	953900	1952400
9539	19525	953900	1952500
9540	19524	954000	1952400
9540	19525	954000	1952500
9541	19524	954100	1952400
9541	19523	954100	1952300
9541	19525	954100	1952500
9542	19525	954200	1952500
9542	19524	954200	1952400
9542	19523	954200	1952300
9561	19525	956100	1952500
9561	19524	956100	1952400
9531	19544	953100	1954400
9530	19544	953000	1954400
9532	19545	953200	1954500
9531	19545	953100	1954500
9532	19544	953200	1954400
9533	19544	953300	1954400
9533	19543	953300	1954300
9543	19525	954300	1952500
9544	19525	954400	1952500
9544	19524	954400	1952400
9543	19524	954300	1952400
9544	19523	954400	1952300
9545	19524	954500	1952400
9545	19525	954500	1952500
9545	19523	954500	1952300
9562	19525	956200	1952500
9562	19524	956200	1952400
9530	19546	953000	1954600
9530	19545	953000	1954500
9529	19546	952900	1954600
9529	19545	952900	1954500
9526	19550	952600	1955000
9526	19551	952600	1955100
9525	19551	952500	1955100
9546	19523	954600	1952300
9526	19552	952600	1955200
9527	19552	952700	1955200
9477	19403	947700	1940300
9586	19537	958600	1953700
9587	19537	958700	1953700
9575	19529	957500	1952900
9575	19528	957500	1952800
9576	19528	957600	1952800
9576	19529	957600	1952900
9566	19526	956600	1952600
9567	19525	956700	1952500
9567	19526	956700	1952600
9568	19525	956800	1952500
9568	19526	956800	1952600
9569	19526	956900	1952600
9569	19525	956900	1952500
9569	19527	956900	1952700
9570	19526	957000	1952600
9570	19527	957000	1952700
9570	19525	957000	1952500
9573	19528	957300	1952800
9573	19527	957300	1952700
9572	19592	957200	1959200
9572	19593	957200	1959300
9574	19527	957400	1952700
9574	19528	957400	1952800
9575	19527	957500	1952700
9500	19525	950000	1952500
9500	19524	950000	1952400
9596	19414	959600	1941400
9571	19617	957100	1961700
9653	19559	965300	1955900
9584	19450	958400	1945000
9585	19450	958500	1945000
9651	19405	965100	1940500
9577	19610	957700	1961000
9474	19484	947400	1948400
9612	19543	961200	1954300
9488	19564	948800	1956400
9488	19563	948800	1956300
9487	19563	948700	1956300
9487	19564	948700	1956400
9392	19512	939200	1951200
9395	19508	939500	1950800
9687	19490	968700	1949000
9558	19526	955800	1952600
9680	19445	968000	1944500
9471	19417	947100	1941700
9470	19417	947000	1941700
9578	19614	957800	1961400
9579	19614	957900	1961400
9575	19554	957500	1955400
9494	19535	949400	1953500
9651	19558	965100	1955800
9530	19491	953000	1949100
9505	19498	950500	1949800
9408	19512	940800	1951200
9409	19511	940900	1951100
9408	19511	940800	1951100
9537	19518	953700	1951800
9537	19517	953700	1951700
9537	19516	953700	1951600
9537	19515	953700	1951500
9536	19514	953600	1951400
9620	19498	962000	1949800
9470	19403	947000	1940300
9469	19403	946900	1940300
9503	19494	950300	1949400
9416	19461	941600	1946100
9416	19460	941600	1946000
9571	19551	957100	1955100
9410	19441	941000	1944100
9464	19490	946400	1949000
9464	19491	946400	1949100
9630	19518	963000	1951800
9545	19444	954500	1944400
9531	19425	953100	1942500
9659	19457	965900	1945700
9435	19477	943500	1947700
9434	19477	943400	1947700
9628	19477	962800	1947700
9628	19478	962800	1947800
9630	19485	963000	1948500
9635	19523	963500	1952300
9634	19523	963400	1952300
9667	19432	966700	1943200
9415	19518	941500	1951800
9415	19517	941500	1951700
9478	19565	947800	1956500
9475	19548	947500	1954800
9492	19429	949200	1942900
9493	19429	949300	1942900
9521	19566	952100	1956600
9520	19566	952000	1956600
9521	19565	952100	1956500
9520	19565	952000	1956500
9570	19524	957000	1952400
9569	19524	956900	1952400
9571	19524	957100	1952400
9574	19524	957400	1952400
9574	19525	957400	1952500
9575	19525	957500	1952500
9576	19526	957600	1952600
9575	19526	957500	1952600
9526	19561	952600	1956100
9525	19561	952500	1956100
9526	19562	952600	1956200
9527	19562	952700	1956200
9522	19566	952200	1956600
9521	19564	952100	1956400
9522	19565	952200	1956500
9558	19523	955800	1952300
9527	19563	952700	1956300
9523	19565	952300	1956500
9522	19564	952200	1956400
9577	19526	957700	1952600
9578	19526	957800	1952600
9558	19542	955800	1954200
9523	19564	952300	1956400
9524	19565	952400	1956500
9524	19564	952400	1956400
9577	19528	957700	1952800
9577	19529	957700	1952900
9578	19529	957800	1952900
9523	19563	952300	1956300
9524	19563	952400	1956300
9577	19530	957700	1953000
9524	19562	952400	1956200
